artist,song_title,lyrics
Dolly Parton,Jolene,"[Guitar Intro]

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm beggin' of you, please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

[Verse 1]
Your beauty is beyond compare
With flaming locks of auburn hair
With ivory skin and eyes of emerald green
Your smile is like a breath of spring
Your voice is soft like summer rain
And I cannot compete with you, Jolene

[Verse 2]
He talks about you in his sleep
And there's nothin' I can do to keep
From cryin' when he calls your name, Jolene
And I can easily understand
How you could easily take my man
But you don't know what he means to me, Jolene

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you, please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him just because you can

[Verse 3]
You could have your choice of men
But I could never love again
He's the only one for me, Jolene
I had to have this talk with you
My happiness depends on you
And whatever you decide to do, Jolene

[Chorus]
Jolene, Jolene, Jolene, Jolene
I'm begging of you, please don't take my man
Jolene, Jolene, Jolene, Jolene
Please don't take him even though you can
Jolene, Jolene"
Dolly Parton,9 to 5,"[Verse 1]
Tumble out of bed and I stumble to the kitchen
Pour myself a cup of ambition
And yawn and stretch and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the street, the traffic starts jumpin'
With folks like me on the job from nine to five

[Chorus]
Workin' nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmm

[Verse 2]
They let you dream just to watch 'em shatter
You're just a step on the bossman's ladder
But you've got dreams he'll never take away
In the same boat with a lot of your friends
Waitin' for the day your ship'll come in
And the tide's gonna turn an' it's all gonna roll your way

[Chorus]
Working nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet
Nine to five, what a way to make a livin'
Barely gettin' by, it's all takin' and no givin'
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
Nine to five, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life puttin' money in his wallet"
Dolly Parton,Coat of Many Colors,"[Verse 1]
Back through the years I go wandering once again
Back to the seasons of my youth
I recall a box of rags that someone gave us
And how my mama put the rags to use

[Verse 2]
There were rags of many colors, every piece was small
And I didn't have a coat and it was way down in the fall
Mama sewed the rags together sewing every piece with love
She made my coat of many colors that I was so proud of

[Verse 3]
As she sewed, she told a story from the Bible she had read
About a coat of many colors Joseph wore and then she said
Perhaps this coat will bring you good luck and happiness
And I just couldn't wait to wear it and momma blessed it with a kiss

[Bridge 1]
My coat of many colors that my mama made for me
Made only from rags but I wore it so proudly
Although we had no money I was rich as I could be
In my coat of many colors my mama made for me

[Verse 4]
So with patches on my britches and holes in both my shoes
In my coat of many colors I hurried off to school
Just to find the others laughing and making fun of me
In my coat of many colors my mama made for me

[Verse 5]
But they didn't understand it for I felt I was rich
And I told them of the love my mama sewed in every stitch
And I told them all the story mama told me while she sewed
And how my coat of many colors was worth more than all their clothes

[Bridge 2]
But they didn't understand it and I tried to make them see
That one is only poor only if they choose to be
Now I know we had no money but I was rich as I could be
In my coat of many colors my mama made for me
Made just for me"
Dolly Parton,I Will Always Love You,"[Verse 1]
If I should stay
I would only be in your way
So I'll go, but I know
I'll think of you each step of the way

[Chorus]
And I will always love you
I will always love you

[Verse 2]
Bittersweet memories
That's all I am taking with me
Goodbye, please don't cry
We both know that I'm not what you need

[Chorus]
But I will always love you
I will always love you

[Bridge]
I hope life treats you kind
And I hope that you have all
That you ever dreamed of
And I wish you joy and happiness
But above all of this, I wish you love

[Chorus]
And I will always love you
I will always love you
I will always love you"
Dolly Parton,World On Fire,"[Intro]
Oh-oh

[Chorus]
Liar, liar, the world's on fire
What you gonna do when it all burns down?
Fire, fire, burnin' higher
Still got time to turn it all around

[Verse 1]
Now, I ain't one for speakin' out much
But that don't mean I don't stay in touch
Everybody's trippin' over this or that
What we gonna do when we all fall flat?

[Chorus]
Liar, liar, the world's on fire
What we gonna do when it all burns down?

[Verse 2]
I don't know what to think about us
When did we lose ""In God we trust?""
God almighty, what we gonna do?
If God ain't listenin' and we're deaf too

[Chorus]
Liar, liar, the world's on fire
What you gonna do when it all burns down?
Fire, fire, burnin' higher
Still got time to turn it all around

[Verse 3]
Don't get me started on politics
Now how are we to live in a world like this?
Greedy politicians, present and past
They wouldn't know the truth if it bit 'em in the ass

[Interlude]
(What you gonna do?) Now tell me, what is truth?
(What you gonna do?) Have we all lost sight
(What you gonna do?) Of common decency?
(What you gonna do?) Of wrong and right?
How do we heal this great divide?
Do we care enough to try?
But liar, liar, the world's on fire
What we gonna do when it all burns down?

[Verse 4]
Billy got a gun, Joey got a knife
Janie got a sign to carry in the fight
Marchin' in the streets with sticks and stones
Don't you ever believe words don't break bones

[Bridge]
Oh, can't we rise above?
Can't we show some love?
Do we just give up or make a change?
We know all too well
We've all been through hell
Time to break the spell in Heaven's name

[Chorus]
Liar, liar, the world's on fire
What you gonna do when it all burns down?
Fire, fire, burnin' higher (Fire, fire)
Still got time to turn it all around
Liar, liar, the world's on fire
What you gonna do when it all burns down?
Fire, fire, burnin' higher
Still got time to turn it all around

[Outro]
(Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
(Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Show some love (Fire, fire, the world's on fire)
(Still got time to turn it all around)
Let's rise above (Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Let's make a stand (Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Let's lend a hand (Liar, liar, the world's on fire)
(Still got time to turn it all around)
Let's heal the hurt (Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Let kindness work (Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Let's be a friend (Liar, liar, the world's on fire)
(What you gonna do when it all burns down?)
Let hatred end (Liar, liar, the world's on fire)
(What you gonna do?)
Liar, liar, the world's on fire
What you gonna do when it all burns down?
Liar, liar, the world's on fire
What you gonna do when it all burns down?"
Dolly Parton,Hard Candy Christmas,"[Verse 1]
Hey, maybe I'll dye my hair
Maybe I'll move somewhere
Maybe I'll get a car
Maybe I'll drive so far
They'll all lose track
Me, I'll bounce right back
Maybe I'll sleep real late
Maybe I'll lose some weight
Maybe I'll clear my junk
Maybe I'll just get drunk on apple wine
Me, I'll be just

[Chorus]
Fine and dandy
Lord it's like a hard candy Christmas
I'm barely getting through tomorrow
But still I won't let
Sorrow bring me way down
I'll be fine and dandy
Lord it's like a hard candy Christmas
I'm barely getting through tomorrow
But still I won't let
Sorrow bring me way down

[Verse 2]
Hey, maybe I'll learn to sew
Maybe I'll just lie low
Maybe I'll hit the bars
Maybe I'll count the stars until dawn
Me, I will go on

Maybe I'll settle down
Maybe I'll just leave town
Maybe I'll have some fun
Maybe I'll meet someone
And make him mine
Me, I'll be just

[Chorus]
Fine and dandy
Lord it's like a hard candy Christmas
I'm barely getting through tomorrow
But still I won't let
Sorrow bring me way down
I'll be fine and dandy
Lord it's like a hard candy Christmas
I'm barely getting through tomorrow
But still I won't let
Sorrow bring me way down
I'll be fine and dandy
Lord it's like a hard candy Christmas
I'm barely getting through tomorrow
But still I won't let
Sorrow bring me way down

[Outro]
Because I'll be fine
(I'll be fine)
Oh, I'll be fine"
Dolly Parton,Just Because I’m a Woman,"[Verse 1]
I can see you're disappointed
By the way you look at me
And I'm sorry that I'm not
The woman you thought I'd be

[Verse 2]
Yes, I've made my mistakes
But listen and understand
My mistakes are no worse than yours
Just because I'm a woman

[Verse 3]
So when you look at me
Don't feel sorry for yourself
Just think of all the shame
You might have brought somebody else
Just let me tell you this
Then we'll both know where we stand

[Bridge]
My mistakes are no worse than yours
Just because I'm a woman

[Verse 4]
Now a man will take a good girl
And he'll ruin her reputation
But when he wants to marry
Well, that's a different situation

[Verse 5]
He'll just walk off and leave her
To do the best she can
While he looks for an angel
To wear his wedding band

[Verse 6]
Now I know that I'm no angel
If that's what you thought you'd found
I was just the victim of
A man that lets me down

[Outro]
No, my mistakes are no worse than yours
Just because I'm a woman"
Dolly Parton,Here You Come Again,"[Verse 1]
Here you come again
Just when I'd begun to get myself together
You waltz right in the door
Just like you've done before
And wrap my heart 'round your little finger

[Verse 2]
Here you come again
Just when I'm about to make it work without you
You look into my eyes
And lie those pretty lies
And pretty soon I'm wondering' how I came to doubt you

[Chorus]
All you got to do is smile that smile
And there go all my defenses
Just leave it up to you and in a little while
You're messing' up my mind and filling' up my senses

[Verse 3]
Here you come again
Looking' better than a body has a right to
And shaking' me up so that all I really know
Is here you come again
And here I go

[Instrumental Interlude]

[Chorus]
All you got to do is smile that smile
And there go all my defenses
Just leave it up to you and in a little while
You're messing' up my mind and filling' up my senses

[Verse 4]
Here you come again
Looking' better than a body has a right to
And shaking' me up so
That all I really know
Is here you come again
And here I go
Here I go
And here I go
And here I go
Here you come again
And here I go
Here I go
And here I go
Here I go"
Dolly Parton,Berry Pie,"Berry pie, a berry pie
I'm gonna make him a berry pie
I wanna be the apple of his eyes
But I'm gonna make a berry pie
Yoddle-diddy-a, yoddle-diddy-I
Yoddle-liddy-yum-yum, my, oh my
He's kinda cute, I'm kinda shy
I'm gonna make him a berry pie

Mama used to say to really please a man
Put somethin' in a bowl or somethin' in a pan
Make him somethin' tart, make him somethin' sweet
To get to his heart, make somethin' good to eat

I like to cook, and I love to bake
Bread and cookiеs and pies and cake
I'm convinced my mama was right
So I'm gonna bakе him a berry pie

Berry pie, a berry pie
I'm gonna make him a berry pie
I wanna be the apple of his eyes
But I'm gonna make a berry pie
Yoddle-diddy-a, yoddle-diddy-I
Yoddle-liddy-yum-yum, my, oh my
I wanna win him over, so why don't I
Let my cookin' do the talkin' with a berry pie?

[Bridge]
A little bit of that
A little bit of this
A lotta, lotta sugar
As sweet as his kiss
I wanna impress him, so why don't I
Just show him my love in a berry pie?

Berry pie, a berry pie
I'm gonna make him a berry pie
He's the berries, so why don't I
Get out the fixin's for a berry pie

A berry pie, a berry pie
I'm gonna make him a berry pie
I wanna be the apple of his eyes
So I'm gonna make him a berry pie

E-ef, i-if, a berry pie
I'm gonna make him a berry pie
E-ef, i-if, a berry pie
I'm gonna make him a berry pie

Yoddle-diddy-a, yoddle-diddy-I
Yoddle-liddy-yum-yum, my, oh my

E-ef, i-if, a berry pie
I'm gonna make him a berry pie

Berry pie, berry pie
I'm gonna make my special delight

E-ef, i-if, a berry pie
I'm gonna make him a berry pie
Yoddle-diddy-a, yoddle-diddy-I
Yoddle-liddy-yum-yum, my, oh my

E-ef, i-if, e-ef, i-if
I'm gonna make him a berry pie"
Dolly Parton,Two Doors Down,"[Chorus]
Two doors down, they're laughin' and drinkin' and having a party
Two doors down, they're not aware that I'm around
But I here I am crying my heart out, feeling sorry
They're having a party two doors down

[Verse 1]
I think I'll dry these useless tears and get myself together
I think I'll wander down the hall and have a look around
'Cause I can't stay inside this lonely room and cry forever
I think I'd really rather join 'em two door down, yeah

[Chorus]
Two doors down, they're laughin' and drinkin' and having a party
Two doors down, they're not aware that I'm around
Here I am, no longer crying and feeling sorry
They're having a party two doors down

[Verse 2]
I can't believe I'm standing here, dry-eyed, all smiles and talking
Making conversation with the new love I have found
I asked him if he'd like to be alone and we start walkin'
Down the hall to my place waiting two doors down, yeah

[Chorus]
Two doors down, they're laughin' and drinkin' and having a party
Two doors town, we're not aware that they're around
But I here I am feeling everything but sorry
We're having our own party two doors down

[Breakdown]
Oh, oh, oh
Oh, two doors down
Oh, oh, oh
Oh, two doors down
Oh, oh, oh
Oh, two doors down
Oh, oh, oh
Oh, two doors down, oh

[Chorus]
Two doors down, they're laughin' and drinkin' and having a party
Two doors down, we're not aware that they're around
Here we are feelin' everything but sorry
We're having our own party two doors down, yeah
Two doors down, they're laughin' and drinkin' and having a party
Two doors down, we're not aware that they're around
Here we are feelin' everything but sorry
We're having our own party two doors down"
