Artist,Gender
Dolly Parton,f
Johnny Cash,m
Willie Nelson,m
Loretta Lynn,f
Hank Williams Sr,m
George Jones,m
Garth Brooks,m
Charley Pride,m
George Strait,m
Merle Haggard,m
Reba McEntire,f
Patsy Cline,f
Jimmie Rodgers,m
Waylon Jennings,m
The Carter Family,n
Randy Travis,m
Alabama,m
Keith Whitley,m
Alan Jackson,m
Kenny Rogers,m
Shania Twain,f
The Judds,f
Tammy Wynette,f
Ray Charles,m
The Chicks,f
Glen Campbell,m
Kris Kristofferson,m
Bill Monroe,m
Chris Stapleton,m
Alison Krauss,f
Buck Owens,m
Vince Gill,m
John Denver,m
Miranda Lambert,f
Carrie Underwood,f
Elvis Presley,m
Emmylou Harris,f
Dwight Yoakam,m
Gene Autry,m
The Everly Brothers,m
Taylor Swift,f
Roy Acuff,m
Bob Wills,m
Porter Wagoner,m
The Oak Ridge Boys,m
Brooks & Dunn,m
Conway Twitty,m
Marty Robbins,m
Kenny Chesney,m
Tanya Tucker,f
Charlie Daniels,m
Tim McGraw,m
Brad Paisley,m
Luke Combs,m
Linda Ronstadt,f
Eric Church,m
Hank Williams Jr,m
Charlie Rich,m
The Louvin Brothers,m
Roger Miller,m
Jerry Lee Lewis,m
Kitty Wells,f
Ray Price,m
Ronnie Milsap,m
Toby Keith,m
Jerry Reed,m
Linda Martell,f
Statler Brothers,m
Clint Black,m
Brenda Lee,f
Keith Urban,m
Trisha Yearwood,f
Blake Shelton,m
Martina McBride,f
Freddy Fender,m
Don Williams,m
Barbara Mandrell,f
Eddy Arnold,m
Morgan Wallen,m
Roy Clark,m
Ernest Tubb,m
Faith Hill,f
DeFord Bailey,m
Patty Loveless,f
Travis Tritt,m
John Anderson,m
Faron Young,m
Ricky Skaggs,m
Kacey Musgraves,f
The Mavericks,m
Darius Rucker,m
Vern Gosdin,m
Rascal Flatts,m
Tennessee Ernie Ford,m
Mel Tillis,m
Luke Bryan,m
Dottie West,f
Earl Thomas Conley,m
Maren Morris,f
Brothers Osborne,m
